name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
K. Leonard,0,2,True,Cutting Dunk Shot,LAC,LAL,-8,-2,202695,245,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0021900002,20191022,2,6,29
L. Shamet,25,3,True,Running Pull-Up Jump Shot,LAC,LAL,206,143,1629013,249,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,6,8
L. Williams,14,2,True,Pullup Jump shot,LAC,LAL,56,137,101150,258,8-16 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,5,30
A. Bradley,23,3,True,Jump Shot,LAC,LAL,-229,27,202340,259,24+ ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,5,12
P. Beverley,2,2,True,Driving Layup Shot,LAC,LAL,11,20,201976,261,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,5,2
A. Bradley,16,2,True,Pullup Jump shot,LAC,LAL,11,162,202340,262,16-24 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,4,48
P. Beverley,26,3,False,Jump Shot,LAC,LAL,136,232,201976,263,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,4,38
A. Davis,4,2,False,Layup Shot,LAC,LAL,-22,37,203076,265,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,4,24
A. Bradley,13,2,False,Pullup Jump shot,LAC,LAL,51,128,202340,271,8-16 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,4,13
P. Beverley,2,2,False,Driving Layup Shot,LAC,LAL,23,15,201976,273,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,4,1
